table=0, priority=5, ip, nw_src=10.0.0.1, nw_dst=10.0.0.13, actions=output:4
table=0, priority=5, ip, nw_src=10.0.0.1, nw_dst=10.0.0.15, actions=output:5
table=0, priority=5, ip, nw_src=10.0.0.3, nw_dst=10.0.0.13, actions=output:4
table=0, priority=5, ip, nw_src=10.0.0.3, nw_dst=10.0.0.15, actions=output:5
table=0, priority=5, ip, nw_src=10.0.0.4, nw_dst=10.0.0.13, actions=output:4
table=0, priority=5, ip, nw_src=10.0.0.4, nw_dst=10.0.0.15, actions=output:5
table=0, priority=5, ip, nw_src=10.0.0.5, nw_dst=10.0.0.13, actions=output:4
table=0, priority=5, ip, nw_src=10.0.0.5, nw_dst=10.0.0.15, actions=output:5
table=0, priority=5, ip, nw_src=10.0.0.6, nw_dst=10.0.0.13, actions=output:4
table=0, priority=5, ip, nw_src=10.0.0.6, nw_dst=10.0.0.15, actions=output:5
table=0, priority=5, ip, nw_src=10.0.0.13, nw_dst=10.0.0.1, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.13, nw_dst=10.0.0.2, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.13, nw_dst=10.0.0.3, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.13, nw_dst=10.0.0.4, actions=output:3
table=0, priority=5, ip, nw_src=10.0.0.13, nw_dst=10.0.0.5, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.13, nw_dst=10.0.0.6, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.13, nw_dst=10.0.0.7, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.13, nw_dst=10.0.0.8, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.13, nw_dst=10.0.0.9, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.13, nw_dst=10.0.0.10, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.13, nw_dst=10.0.0.11, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.13, nw_dst=10.0.0.12, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.13, nw_dst=10.0.0.15, actions=output:5
table=0, priority=5, ip, nw_src=10.0.0.13, nw_dst=10.0.0.16, actions=output:5
table=0, priority=5, ip, nw_src=10.0.0.13, nw_dst=10.0.0.17, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.14, nw_dst=10.0.0.1, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.14, nw_dst=10.0.0.2, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.14, nw_dst=10.0.0.3, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.14, nw_dst=10.0.0.4, actions=output:3
table=0, priority=5, ip, nw_src=10.0.0.14, nw_dst=10.0.0.5, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.14, nw_dst=10.0.0.6, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.14, nw_dst=10.0.0.7, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.14, nw_dst=10.0.0.8, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.14, nw_dst=10.0.0.9, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.14, nw_dst=10.0.0.10, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.14, nw_dst=10.0.0.11, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.14, nw_dst=10.0.0.12, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.14, nw_dst=10.0.0.13, actions=output:4
table=0, priority=5, ip, nw_src=10.0.0.14, nw_dst=10.0.0.15, actions=output:5
table=0, priority=5, ip, nw_src=10.0.0.14, nw_dst=10.0.0.16, actions=output:5
table=0, priority=5, ip, nw_src=10.0.0.14, nw_dst=10.0.0.17, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.15, nw_dst=10.0.0.1, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.15, nw_dst=10.0.0.3, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.15, nw_dst=10.0.0.4, actions=output:3
table=0, priority=5, ip, nw_src=10.0.0.15, nw_dst=10.0.0.5, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.16, nw_dst=10.0.0.4, actions=output:3
table=0, priority=5, ip, nw_src=10.0.0.16, nw_dst=10.0.0.5, actions=output:2
table=0, priority=5, ip, nw_src=10.0.0.17, nw_dst=10.0.0.13, actions=output:4
